,CDS_CODE,DISTRICT,ETHNIC,GR_12,ENR_TOTAL,GRADS,UC_GRADS,District_Code,Function_Code,Function,Amount
0,1100170000000,Alameda County Office of Education,0,2,35,6,2,10017,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,5761988.840000003
1,1100170000000,Alameda County Office of Education,0,2,35,6,2,10017,5900,Communications                                                                                                                                                                                                                                            ,2126900.99
2,1100170000000,Alameda County Office of Education,0,2,35,6,2,10017,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,248316.29000000004
3,1100170000000,Alameda County Office of Education,0,2,35,6,2,10017,8110,Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,2607.78
4,1100170000000,Alameda County Office of Education,0,2,35,6,2,10017,9200,Accounts Receivable                                                                                                                                                                                                                                       ,1138122.98
5,1100170000000,Alameda County Office of Education,1,2,24,2,2,10017,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,5761988.840000003
6,1100170000000,Alameda County Office of Education,1,2,24,2,2,10017,5900,Communications                                                                                                                                                                                                                                            ,2126900.99
7,1100170000000,Alameda County Office of Education,1,2,24,2,2,10017,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,248316.29000000004
8,1100170000000,Alameda County Office of Education,1,2,24,2,2,10017,8110,Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,2607.78
9,1100170000000,Alameda County Office of Education,1,2,24,2,2,10017,9200,Accounts Receivable                                                                                                                                                                                                                                       ,1138122.98
10,1100170000000,Alameda County Office of Education,2,13,369,30,22,10017,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,5761988.840000003
11,1100170000000,Alameda County Office of Education,2,13,369,30,22,10017,5900,Communications                                                                                                                                                                                                                                            ,2126900.99
12,1100170000000,Alameda County Office of Education,2,13,369,30,22,10017,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,248316.29000000004
13,1100170000000,Alameda County Office of Education,2,13,369,30,22,10017,8110,Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,2607.78
14,1100170000000,Alameda County Office of Education,2,13,369,30,22,10017,9200,Accounts Receivable                                                                                                                                                                                                                                       ,1138122.98
15,1100170000000,Alameda County Office of Education,3,5,44,6,2,10017,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,5761988.840000003
16,1100170000000,Alameda County Office of Education,3,5,44,6,2,10017,5900,Communications                                                                                                                                                                                                                                            ,2126900.99
17,1100170000000,Alameda County Office of Education,3,5,44,6,2,10017,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,248316.29000000004
18,1100170000000,Alameda County Office of Education,3,5,44,6,2,10017,8110,Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,2607.78
19,1100170000000,Alameda County Office of Education,3,5,44,6,2,10017,9200,Accounts Receivable                                                                                                                                                                                                                                       ,1138122.98
20,1100170000000,Alameda County Office of Education,4,1,54,14,2,10017,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,5761988.840000003
21,1100170000000,Alameda County Office of Education,4,1,54,14,2,10017,5900,Communications                                                                                                                                                                                                                                            ,2126900.99
22,1100170000000,Alameda County Office of Education,4,1,54,14,2,10017,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,248316.29000000004
23,1100170000000,Alameda County Office of Education,4,1,54,14,2,10017,8110,Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,2607.78
24,1100170000000,Alameda County Office of Education,4,1,54,14,2,10017,9200,Accounts Receivable                                                                                                                                                                                                                                       ,1138122.98
25,1100170000000,Alameda County Office of Education,5,116,916,186,82,10017,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,5761988.840000003
26,1100170000000,Alameda County Office of Education,5,116,916,186,82,10017,5900,Communications                                                                                                                                                                                                                                            ,2126900.99
27,1100170000000,Alameda County Office of Education,5,116,916,186,82,10017,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,248316.29000000004
28,1100170000000,Alameda County Office of Education,5,116,916,186,82,10017,8110,Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,2607.78
29,1100170000000,Alameda County Office of Education,5,116,916,186,82,10017,9200,Accounts Receivable                                                                                                                                                                                                                                       ,1138122.98
