CDS_CODE,DISTRICT,ETHNIC,GR_12,ENR_TOTAL,GRADS,UC_GRADS
1100170000000,Alameda County Office of Education,1,5,24,10,6
1100170000000,Alameda County Office of Education,2,29,430,64,8
1100170000000,Alameda County Office of Education,3,6,32,8,4
1100170000000,Alameda County Office of Education,4,7,42,10,6
1100170000000,Alameda County Office of Education,5,161,876,296,136
1100170000000,Alameda County Office of Education,6,125,591,170,84
1100170000000,Alameda County Office of Education,7,50,715,90,8
1100170000000,Alameda County Office of Education,9,14,160,18,6
1316170000000,California School for the Deaf-Fremont (State Spec,2,2,26,2,0
1316170000000,California School for the Deaf-Fremont (State Spec,3,1,2,1,0
1316170000000,California School for the Deaf-Fremont (State Spec,4,6,22,8,0
1316170000000,California School for the Deaf-Fremont (State Spec,5,34,186,28,0
1316170000000,California School for the Deaf-Fremont (State Spec,6,14,41,10,0
1316170000000,California School for the Deaf-Fremont (State Spec,7,20,116,24,0
1611190000000,Alameda Unified,0,0,11,2,2
1611190000000,Alameda Unified,1,1,23,2,0
1611190000000,Alameda Unified,2,304,1474,568,406
1611190000000,Alameda Unified,3,8,58,16,4
1611190000000,Alameda Unified,4,68,465,126,62
1611190000000,Alameda Unified,5,192,1091,346,92
1611190000000,Alameda Unified,6,97,752,150,46
1611190000000,Alameda Unified,7,212,1566,382,212
1611190000000,Alameda Unified,9,40,360,76,30
1611270000000,Albany City Unified,2,93,359,176,138
1611270000000,Albany City Unified,3,1,3,2,0
1611270000000,Albany City Unified,4,6,20,12,6
1611270000000,Albany City Unified,5,58,215,96,40
1611270000000,Albany City Unified,6,15,60,24,8
1611270000000,Albany City Unified,7,87,442,172,102
1611270000000,Albany City Unified,9,29,119,56,22
1611430000000,Berkeley Unified,1,2,6,4,4
1611430000000,Berkeley Unified,2,58,274,116,74
1611430000000,Berkeley Unified,3,3,11,4,0
1611430000000,Berkeley Unified,4,11,37,18,12
1611430000000,Berkeley Unified,5,208,1128,354,194
1611430000000,Berkeley Unified,6,204,822,388,138
1611430000000,Berkeley Unified,7,330,1313,626,524
1611430000000,Berkeley Unified,9,69,364,132,84
1611500000000,Castro Valley Unified,0,4,16,8,4
1611500000000,Castro Valley Unified,1,3,11,4,2
1611500000000,Castro Valley Unified,2,192,766,372,284
1611500000000,Castro Valley Unified,3,5,21,10,2
1611500000000,Castro Valley Unified,4,26,136,44,26
1611500000000,Castro Valley Unified,5,164,718,304,114
1611500000000,Castro Valley Unified,6,57,253,110,32
1611500000000,Castro Valley Unified,7,235,971,440,246
1611500000000,Castro Valley Unified,9,69,261,136,84
1611680000000,Emery Unified,2,5,24,10,6
1611680000000,Emery Unified,5,8,34,14,8
1611680000000,Emery Unified,6,31,118,42,6
1611680000000,Emery Unified,7,3,13,6,0
1611760000000,Fremont Unified,1,9,38,18,4
1611760000000,Fremont Unified,2,1313,5355,2548,2122
1611760000000,Fremont Unified,3,18,68,34,18
1611760000000,Fremont Unified,4,168,686,324,198
1611760000000,Fremont Unified,5,397,1610,686,240
1611760000000,Fremont Unified,6,91,383,158,56
1611760000000,Fremont Unified,7,479,1893,878,452
1611760000000,Fremont Unified,9,36,171,64,42
1611920000000,Hayward Unified,0,2,75,2,2
1611920000000,Hayward Unified,1,7,29,12,4
1611920000000,Hayward Unified,2,145,673,250,186
1611920000000,Hayward Unified,3,56,245,98,44
1611920000000,Hayward Unified,4,140,630,256,160
1611920000000,Hayward Unified,5,858,4176,1434,656
1611920000000,Hayward Unified,6,234,919,380,134
1611920000000,Hayward Unified,7,97,572,136,66
1611920000000,Hayward Unified,9,18,148,30,14
1612000000000,Livermore Valley Joint Unified,0,3,31,6,2
1612000000000,Livermore Valley Joint Unified,1,4,12,6,6
1612000000000,Livermore Valley Joint Unified,2,52,314,104,68
1612000000000,Livermore Valley Joint Unified,3,2,18,2,0
1612000000000,Livermore Valley Joint Unified,4,34,151,68,28
1612000000000,Livermore Valley Joint Unified,5,283,1348,514,168
1612000000000,Livermore Valley Joint Unified,6,16,78,24,10
1612000000000,Livermore Valley Joint Unified,7,523,2835,1008,534
1612000000000,Livermore Valley Joint Unified,9,58,381,114,66
1612340000000,Newark Unified,1,1,6,2,2
1612340000000,Newark Unified,2,66,239,134,32
1612340000000,Newark Unified,3,14,47,26,4
1612340000000,Newark Unified,4,52,202,100,18
1612340000000,Newark Unified,5,247,986,416,56
1612340000000,Newark Unified,6,42,136,74,4
1612340000000,Newark Unified,7,83,311,164,22
1612340000000,Newark Unified,9,7,52,10,2
1612420000000,New Haven Unified,1,4,8,4,4
1612420000000,New Haven Unified,2,227,866,424,286
1612420000000,New Haven Unified,3,50,152,78,40
1612420000000,New Haven Unified,4,254,901,438,284
1612420000000,New Haven Unified,5,394,1504,586,230
1612420000000,New Haven Unified,6,84,341,130,70
1612420000000,New Haven Unified,7,86,275,134,70
1612420000000,New Haven Unified,9,31,170,58,32
1612590000000,Oakland Unified,0,29,505,42,28
1612590000000,Oakland Unified,1,15,75,14,4
1612590000000,Oakland Unified,2,464,2743,764,508
1612590000000,Oakland Unified,3,44,290,56,24
1612590000000,Oakland Unified,4,27,227,42,20
1612590000000,Oakland Unified,5,1190,12931,1826,1130
1612590000000,Oakland Unified,6,889,6722,1250,462
1612590000000,Oakland Unified,7,210,1452,364,286
1612590000000,Oakland Unified,9,44,413,80,64
1612600000000,Oakland Unified,2,3,3496,2,0
1612600000000,Oakland Unified,4,2,220,2,0
1612600000000,Oakland Unified,5,26,8108,12,0
1612600000000,Oakland Unified,6,25,6117,20,4
1612750000000,Piedmont City Unified,1,1,1,1,1
1612750000000,Piedmont City Unified,2,40,139,80,78
1612750000000,Piedmont City Unified,4,2,15,4,4
1612750000000,Piedmont City Unified,5,9,32,18,16
1612750000000,Piedmont City Unified,6,7,26,14,10
1612750000000,Piedmont City Unified,7,166,608,328,300
1612750000000,Piedmont City Unified,9,4,46,8,4
1612910000000,San Leandro Unified,2,123,395,220,150
1612910000000,San Leandro Unified,3,10,49,14,4
1612910000000,San Leandro Unified,4,67,241,110,64
1612910000000,San Leandro Unified,5,345,1265,582,148
1612910000000,San Leandro Unified,6,121,497,204,46
1612910000000,San Leandro Unified,7,71,253,110,40
1612910000000,San Leandro Unified,9,13,49,24,4
1613090000000,San Lorenzo Unified,0,2,114,4,2
1613090000000,San Lorenzo Unified,1,2,12,4,2
1613090000000,San Lorenzo Unified,2,145,683,290,188
1613090000000,San Lorenzo Unified,3,21,66,40,10
1613090000000,San Lorenzo Unified,4,83,330,168,80
1613090000000,San Lorenzo Unified,5,529,2235,1034,364
1613090000000,San Lorenzo Unified,6,154,577,300,112
1613090000000,San Lorenzo Unified,7,115,443,214,74
1613090000000,San Lorenzo Unified,9,17,61,28,14
1750930000000,Dublin Unified,0,1,26,2,2
1750930000000,Dublin Unified,1,2,10,8,8
1750930000000,Dublin Unified,2,116,2556,232,178
1750930000000,Dublin Unified,3,3,22,6,2
1750930000000,Dublin Unified,4,35,387,72,48
1750930000000,Dublin Unified,5,97,569,182,88
1750930000000,Dublin Unified,6,42,242,90,44
1750930000000,Dublin Unified,7,184,1312,364,226
1750930000000,Dublin Unified,9,18,286,20,12
1751010000000,Pleasanton Unified,1,12,24,22,8
1751010000000,Pleasanton Unified,2,374,1531,748,606
1751010000000,Pleasanton Unified,3,6,16,12,6
1751010000000,Pleasanton Unified,4,32,126,62,40
1751010000000,Pleasanton Unified,5,138,476,234,102
1751010000000,Pleasanton Unified,6,35,113,58,30
1751010000000,Pleasanton Unified,7,647,2507,1234,710
1751010000000,Pleasanton Unified,9,26,115,48,24
1766530000000,SBE - Livermore Valley Charter Preparatory High,0,1,6,1,1
1766530000000,SBE - Livermore Valley Charter Preparatory High,2,12,40,24,24
1766530000000,SBE - Livermore Valley Charter Preparatory High,4,3,11,6,6
1766530000000,SBE - Livermore Valley Charter Preparatory High,5,22,79,44,44
1766530000000,SBE - Livermore Valley Charter Preparatory High,6,2,10,4,4
1766530000000,SBE - Livermore Valley Charter Preparatory High,7,64,238,126,124
1766530000000,SBE - Livermore Valley Charter Preparatory High,9,3,21,8,8
2100250000000,Alpine County Office of Education,1,4,6,2,0
3100330000000,Amador County Office of Education,7,13,132,4,0
3739810000000,Amador County Unified,0,5,26,8,0
3739810000000,Amador County Unified,1,14,38,20,2
3739810000000,Amador County Unified,2,4,9,6,2
3739810000000,Amador County Unified,3,1,5,2,0
3739810000000,Amador County Unified,4,2,9,4,2
3739810000000,Amador County Unified,5,43,232,78,24
3739810000000,Amador County Unified,6,1,2,1,0
3739810000000,Amador County Unified,7,236,919,436,104
3739810000000,Amador County Unified,9,11,57,20,0
4100410000000,Butte County Office of Education,1,3,39,2,0
4100410000000,Butte County Office of Education,2,1,9,2,0
4100410000000,Butte County Office of Education,5,28,212,54,4
4100410000000,Butte County Office of Education,6,3,16,6,0
4100410000000,Butte County Office of Education,7,120,727,228,42
4100410000000,Butte County Office of Education,9,7,25,8,0
4100420000000,Butte County Office of Education,1,0,1,1,0
4614080000000,Biggs Unified,2,0,1,1,0
4614080000000,Biggs Unified,5,19,56,24,4
4614080000000,Biggs Unified,6,1,3,2,0
4614080000000,Biggs Unified,7,17,88,32,10
4614240000000,Chico Unified,0,23,65,18,0
4614240000000,Chico Unified,1,15,83,32,4
4614240000000,Chico Unified,2,87,292,168,74
4614240000000,Chico Unified,3,3,31,6,2
4614240000000,Chico Unified,4,10,37,20,10
4614240000000,Chico Unified,5,219,1005,428,90
4614240000000,Chico Unified,6,34,156,72,10
4614240000000,Chico Unified,7,681,3163,1278,604
4614240000000,Chico Unified,9,22,132,38,4
4614320000000,Durham Unified,1,0,4,1,0
4614320000000,Durham Unified,5,22,63,40,6
4614320000000,Durham Unified,7,53,220,100,50
4614320000000,Durham Unified,9,1,3,1,1
4614400000000,Feather Falls Union Elementary,1,3,9,6,0
4614400000000,Feather Falls Union Elementary,5,3,7,4,0
4614400000000,Feather Falls Union Elementary,7,7,20,6,0
4614400000000,Feather Falls Union Elementary,9,1,2,1,0
4614570000000,Golden Feather Union Elementary,0,1,3,1,0
4614570000000,Golden Feather Union Elementary,5,2,13,6,0
4614570000000,Golden Feather Union Elementary,7,8,37,12,0
4615150000000,Oroville Union High,1,21,113,24,2
4615150000000,Oroville Union High,2,90,347,176,84
4615150000000,Oroville Union High,3,2,6,4,0
4615150000000,Oroville Union High,4,1,8,2,0
4615150000000,Oroville Union High,5,124,461,204,24
4615150000000,Oroville Union High,6,15,61,16,0
4615150000000,Oroville Union High,7,250,1097,424,60
4615150000000,Oroville Union High,9,38,179,62,6
4615310000000,Paradise Unified,1,3,17,4,0
4615310000000,Paradise Unified,2,2,16,4,0
4615310000000,Paradise Unified,4,3,12,6,2
4615310000000,Paradise Unified,5,34,158,48,14
4615310000000,Paradise Unified,6,5,16,6,0
4615310000000,Paradise Unified,7,239,1162,416,76
4615310000000,Paradise Unified,9,13,104,30,4
4615320000000,Paradise Unified,5,4,368,2,0
4615320000000,Paradise Unified,7,15,2102,20,0
4615320000000,Paradise Unified,9,2,229,2,0
4755070000000,Gridley Unified,0,4,18,4,0
4755070000000,Gridley Unified,2,9,21,18,12
4755070000000,Gridley Unified,5,91,368,150,30
4755070000000,Gridley Unified,6,2,3,1,0
4755070000000,Gridley Unified,7,56,226,108,20
4755070000000,Gridley Unified,9,1,3,1,0
5100580000000,Calaveras County Office of Education,2,2,2,2,0
5100580000000,Calaveras County Office of Education,3,1,2,2,0
5100580000000,Calaveras County Office of Education,5,14,77,36,0
5100580000000,Calaveras County Office of Education,7,53,367,108,2
5100580000000,Calaveras County Office of Education,9,3,50,10,0
5100590000000,Calaveras County Office of Education,1,1,2,1,0
5100590000000,Calaveras County Office of Education,2,1,1,1,0
5100590000000,Calaveras County Office of Education,5,4,9,8,0
5100590000000,Calaveras County Office of Education,6,1,4,1,0
5100590000000,Calaveras County Office of Education,7,1,35,6,0
5615560000000,Bret Harte Union High,1,4,17,8,4
5615560000000,Bret Harte Union High,2,2,4,2,0
5615560000000,Bret Harte Union High,5,26,142,46,18
5615560000000,Bret Harte Union High,6,1,5,2,0
5615560000000,Bret Harte Union High,7,139,516,278,116
5615560000000,Bret Harte Union High,9,10,36,20,6
5615640000000,Calaveras Unified,1,6,23,10,0
5615640000000,Calaveras Unified,2,2,7,4,0
5615640000000,Calaveras Unified,3,2,4,4,0
5615640000000,Calaveras Unified,4,3,8,6,4
5615640000000,Calaveras Unified,5,41,146,90,10
5615640000000,Calaveras Unified,6,4,14,10,0
5615640000000,Calaveras Unified,7,206,850,420,94
5615640000000,Calaveras Unified,9,7,22,14,2
6615980000000,Colusa Unified,1,5,19,4,2
6615980000000,Colusa Unified,2,1,4,2,2
